,Date,Corrected Potable (L),Corrected Technical  (L),Corrected Total (L),Resupply Potable (L),Resupply Technical (L),Corrected Predicted (L),Unnamed: 7,Unnamed: 8
40,2022-10-21,1574.0,2416.44,3990.44,,,3681.65,,
41,2022-10-28,1559.0,2352.34,3911.34,,,3578.75,,
42,2022-11-04,1667.0,2403.05,4070.05,376.0,,3475.85,,
43,2022-11-11,1780.0,2383.22,4163.22,,,3372.95,,
44,2022-11-18,1591.0,2352.87,3943.87,,,3270.05,,
45,2022-11-25,1591.0,2327.15,3918.15,,,3167.15,,
46,2022-12-02,1518.0,2308.27,3826.27,,,3064.25,,
47,2022-12-09,1492.0,2320.04,3812.04,,,2961.35,,
48,2022-12-16,1336.0,2459.9,3795.9,,,2858.45,,
49,2022-12-23,1313.0,2439.19,3752.19,,,2755.55,,
50,2022-12-30,1286.0,2455.2,3741.2,,,2652.65,,
51,2023-01-06,1261.0,2314.53,3575.53,,,2549.75,,
52,2023-01-13,1256.0,2371.79,3627.79,,,3627.79,,
53,2023-01-20,1208.0,2325.98,3533.98,,,3524.89,,
54,2023-01-27,1203.0,2258.94,3461.94,,,3421.99,,
55,2023-02-03,1181.0,2158.74,3339.74,,,3319.09,,
56,2023-02-10,1195.0,2111.94,3306.94,,,3216.19,,
57,2023-02-17,1195.0,2089.14,3284.14,420.0,,3113.29,,
58,2023-02-24,1279.0,2220.74,3499.74,,,3010.39,,
59,2023-03-03,1255.0,2157.94,3412.94,,,2907.49,,
60,2023-03-10,1255.0,2170.44,3425.44,,,3425.44,,
61,2023-03-17,1138.0,2170.84,3308.84,,,3263.74,,
62,2023-03-24,1113.0,2186.61,3299.61,,,3160.84,,
63,2023-03-31,1089.0,2155.45,3244.45,,,3244.45,,Exp 69
64,2023-04-07,1065.0,2134.95,3199.95,,,3141.55,,
65,2023-04-14,1062.0,2118.0,3180.0,,,3038.65,,
66,2023-04-21,1057.0,2079.48,3136.48,,,2935.75,,
67,2023-04-28,958.0,2144.14,3102.14,,,2832.85,,
68,2023-05-05,956.0,2107.21,3063.21,,,2729.95,,
69,2023-05-12,929.0,2135.66,3064.66,,,2627.05,,
70,2023-05-19,905.0,2094.78,2999.78,,,2524.15,,
71,2023-05-26,905.0,2084.54,2989.54,696.0,44.0,2421.25,,
72,2023-06-02,748.0,2112.69,2860.69,,,2259.55,,
73,2023-06-09,693.0,2131.24,2824.24,,,2156.65,,
74,2023-06-16,611.0,2071.84,2682.84,,,2053.75,,
75,2023-06-23,565.0,2108.43,2673.43,,,1950.85,,
76,2023-06-30,539.0,2126.86,2665.86,,,1847.95,,
77,2023-07-07,439.0,2169.76,2608.76,,,1745.05,,
78,2023-07-14,415.0,2083.37,2498.37,,,1642.15,,
79,2023-07-21,357.0,2083.48,2440.48,,,1539.25,,
80,2023-07-28,291.0,2113.86,2404.86,,,1436.35,,
81,2023-08-04,194.0,2046.66,2240.66,,,1333.45,,
82,2023-08-11,192.0,2024.96,2216.96,,,1230.55,,
83,2023-08-18,167.0,1991.13,2158.13,,,1127.65,,
84,2023-08-25,141.0,1922.66,2063.66,,,1024.75,,
85,2023-09-01,196.0,1978.17,2174.17,,,921.85,,
86,2023-09-06,826.0,1928.02,2754.02,,,848.35,,
